"SECONDS";"PID";"VALUE";"UNITS"
"29,2607844";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"29,2620971";"verbrauchte Spritmenge";"0";"l"
"29,2622325";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"29,2638203";"verbrauchte Spritmenge (gesamt)";"0";"l"
"29,2639658";"Treibstoffkosten";"0";"€"
"29,2766171";"Treibstoffkosten (gesamt)";"0";"€"
"29,4882618";"Geschwindigkeit";"0";"km/h"
"29,4888869";"zurückgelegte Strecke";"0";"km"
"29,4890031";"Fahrzeugbeschleunigung";"0";"m_sec2"
"29,4900206";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"29,4902386";"Durchschnittsgeschwindigkeit";"0";"km/h"
"29,4903757";"zurückgelegte Strecke (gesamt)";"0";"km"
"29,7060296";"Kühlmitteltemperatur";"60";"℃"
"29,9331216";"Motordrehzahl";"868";"rpm"
"29,9336323";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"29,9348181";"verbrauchte Spritmenge";"0";"l"
"29,9349518";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"29,9369202";"verbrauchte Spritmenge (gesamt)";"0";"l"
"29,937054";"Treibstoffkosten";"0";"€"
"29,9520488";"Treibstoffkosten (gesamt)";"0";"€"
"30,1700734";"Geschwindigkeit";"0";"km/h"
"30,1718295";"zurückgelegte Strecke";"0";"km"
"30,1724223";"Fahrzeugbeschleunigung";"0";"m_sec2"
"30,1744043";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"30,1749288";"Durchschnittsgeschwindigkeit";"0";"km/h"
"30,1752423";"zurückgelegte Strecke (gesamt)";"0";"km"
"30,4113456";"Kühlmitteltemperatur";"60";"℃"
"30,6442381";"Motordrehzahl";"871";"rpm"
"30,6455767";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"30,6489416";"verbrauchte Spritmenge";"0";"l"
"30,6490795";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"30,6508551";"verbrauchte Spritmenge (gesamt)";"0";"l"
"30,6510219";"Treibstoffkosten";"0";"€"
"30,6637157";"Treibstoffkosten (gesamt)";"0";"€"
"30,8628466";"Geschwindigkeit";"0";"km/h"
"30,8637203";"zurückgelegte Strecke";"0";"km"
"30,8638817";"Fahrzeugbeschleunigung";"0";"m_sec2"
"30,8647855";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"30,866135";"Durchschnittsgeschwindigkeit";"0";"km/h"
"30,8662937";"zurückgelegte Strecke (gesamt)";"0";"km"
"31,089899";"Kühlmitteltemperatur";"60";"℃"
"31,3246092";"Motordrehzahl";"884";"rpm"
"31,3259244";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"31,3288605";"verbrauchte Spritmenge";"0";"l"
"31,3289932";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"31,3312158";"verbrauchte Spritmenge (gesamt)";"0";"l"
"31,3313498";"Treibstoffkosten";"0";"€"
"31,3404415";"Treibstoffkosten (gesamt)";"0";"€"
"31,5534737";"Geschwindigkeit";"0";"km/h"
"31,5554865";"zurückgelegte Strecke";"0";"km"
"31,556088";"Fahrzeugbeschleunigung";"0";"m_sec2"
"31,5583035";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"31,5599119";"Durchschnittsgeschwindigkeit";"0";"km/h"
"31,5602273";"zurückgelegte Strecke (gesamt)";"0";"km"
"31,9659323";"Kühlmitteltemperatur";"60";"℃"
"32,8057082";"Motordrehzahl";"886";"rpm"
"32,8072548";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"32,8104208";"verbrauchte Spritmenge";"0";"l"
"32,8107278";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"32,814927";"verbrauchte Spritmenge (gesamt)";"0";"l"
"32,8152451";"Treibstoffkosten";"0";"€"
"32,8306723";"Treibstoffkosten (gesamt)";"0";"€"
"33,0292261";"Geschwindigkeit";"0";"km/h"
"33,0302563";"zurückgelegte Strecke";"0";"km"
"33,0304653";"Fahrzeugbeschleunigung";"0";"m_sec2"
